ImageNet, 1000
FGSM, untargeted
dist, l2, asr, eps, target
l2,11.1632,9.0403,0.0005,False
l2,22.3393,16.4117,0.001,False
l2,44.6683,31.5716,0.002,False
l2,67.0058,43.6718,0.003,False
l2,89.3365,52.4339,0.004,False
l2,111.6662,59.8053,0.005,False
l2,133.9883,65.9249,0.006,False
l2,156.3189,71.9054,0.007,False
l2,178.6476,77.1905,0.008,False
l2,200.9862,80.5285,0.009,False
l2,223.3222,83.1711,0.01,False
l2,267.9900,85.9500,0.012,False
l2,290.3300,87.2000,0.013,False
l2,446.5925,92.4896,0.02,False
l2,892.6501,95.1321,0.04,False
l2,1338.3975,95.8275,0.06,False
l2,1783.8332,96.2448,0.08,False
l2,2228.6576,96.5229,0.1,False
l2,4445.5037,95.5494,0.2,False
l2,6645.2987,94.9930,0.3,False
l2,8821.6456,95.4103,0.4,False
l2,10962.8294,96.5229,0.5,False
l2,13074.6305,97.7747,0.6,False
l2,15153.3292,98.7483,0.7,False
l2,17196.5980,99.3046,0.8,False
l2,19208.1066,99.4437,0.9,False
l2,21183.7835,99.7218,1.0,False

ImageNet, 1000
FGSM, targeted
dist, l2, asr, eps, target
l2,0.0000,0.0000,0.6,True
l2,22.3606,0.1001,0.001,True
l2,44.7202,0.2002,0.002,True
l2,67.0719,0.5005,0.003,True
l2,89.4223,0.6006,0.004,True
l2,111.7787,0.6006,0.005,True
l2,134.1415,0.8008,0.006,True
l2,156.3964,1.4014,0.007,True
l2,178.7569,1.6016,0.008,True
l2,201.1079,2.0020,0.009,True
l2,223.3712,2.5025,0.01,True
l2,268.0960,3.1031,0.012,True
l2,290.4575,3.4034,0.013,True
l2,312.8122,3.3033,0.014,True
l2,357.5685,3.4034,0.016,True
l2,379.8818,3.6036,0.017,True
l2,402.2182,3.7037,0.018,True
l2,446.8951,4.3043,0.02,True
l2,893.7495,4.6046,0.04,True
l2,1339.4749,4.6046,0.06,True
l2,1785.3363,4.3043,0.08,True
l2,2231.6614,3.9039,0.1,True
l2,4460.9828,1.5015,0.2,True
l2,6644.8564,0.7007,0.3,True
l2,8918.2506,0.3003,0.4,True
l2,11080.3163,0.1001,0.5,True
l2,14794.3906,0.2002,0.7,True
l2,16763.9623,0.2002,0.8,True
l2,18684.5683,0.2002,0.9,True
l2,20557.1747,0.2002,1.0,True
